influence.1.1		influence.1.2		influence.1.3		influence.2.1		influence.2.2		influence.2.3		influence.3.1		influence.3.2		influence.3.3		
0.000000000000000000e+00 3.171972577969446316e+00 1.761536292080862906e-08 1.363708644158632619e-02 0.000000000000000000e+00 3.735743393677234958e-02 7.710852323856027696e-07 6.120615659174351126e-10 0.000000000000000000e+00
0.000000000000000000e+00 1.934627428990744136e+00 1.081085037517188137e-08 3.357631556649540942e-03 0.000000000000000000e+00 2.005135258605646870e-02 2.272745453275691466e-08 2.653188955500033073e-10 0.000000000000000000e+00
0.000000000000000000e+00 3.520431902169783855e-01 4.718569607454435925e-09 3.574745081300854661e-04 0.000000000000000000e+00 7.611854437830764541e-02 2.915349036275964446e-08 9.944075480812085372e-09 0.000000000000000000e+00
0.000000000000000000e+00 7.801102497663803259e-01 2.456262021340453893e-09 3.779161927568846883e-03 0.000000000000000000e+00 2.519223649121624220e+00 2.876037636223169588e-08 6.083139704055434367e-10 0.000000000000000000e+00
0.000000000000000000e+00 5.402843258250067393e-01 2.268582927853464719e-09 9.249716751289329200e-03 0.000000000000000000e+00 7.144063196725614073e-01 1.624291837127735667e-08 1.278695473079008007e-09 0.000000000000000000e+00
0.000000000000000000e+00 4.151047098693367854e-01 5.249686942721078775e-09 7.363964798573704312e-03 0.000000000000000000e+00 2.585867942881402426e-01 1.622199942529543236e-08 8.353621076879219189e-10 0.000000000000000000e+00
0.000000000000000000e+00 2.337605558151931995e-01 4.976556570507987424e-08 2.385735950459217172e-02 0.000000000000000000e+00 6.497685384229839878e-01 4.936613044447685502e-09 1.963654017546880560e-09 0.000000000000000000e+00
0.000000000000000000e+00 9.911368662896426207e-02 8.532979725430578891e-08 2.904872700648240477e-02 0.000000000000000000e+00 1.549501635128628152e+00 7.284264785561994475e-08 5.044640639114327401e-09 0.000000000000000000e+00
0.000000000000000000e+00 1.136473391354448151e-02 8.299730821115873029e-09 3.930160407408360423e-02 0.000000000000000000e+00 1.861270435935025391e+00 6.120930771018536888e-08 3.613466167373309091e-09 0.000000000000000000e+00
0.000000000000000000e+00 1.170103415884824090e-02 5.635196717053696818e-09 1.601595344709063088e-03 0.000000000000000000e+00 1.690095037928577293e+00 1.265536277284587171e-07 3.687775122558891283e-08 0.000000000000000000e+00
0.000000000000000000e+00 2.349290771899882058e-01 2.485602586814263112e-09 1.104837016832360599e-03 0.000000000000000000e+00 1.195403498042061141e+00 1.386335092883379179e-07 7.027522059400844607e-08 0.000000000000000000e+00
0.000000000000000000e+00 2.120053333337210133e-01 3.222869744174000249e-09 1.580103144965894560e-03 0.000000000000000000e+00 8.070957881495346431e-01 6.016352559357486095e-08 3.000171992291313587e-08 0.000000000000000000e+00
0.000000000000000000e+00 2.092552026380506969e-01 4.213160001610750358e-10 2.430136980484072246e-03 0.000000000000000000e+00 4.891268172586447083e-01 2.475141877761819950e-07 2.219093396863078211e-08 0.000000000000000000e+00
0.000000000000000000e+00 2.723014289307779667e-01 2.954186520839535297e-10 1.180263324981490128e-02 0.000000000000000000e+00 5.144883922803655807e+00 1.872712187430607447e-07 3.295120692713885274e-08 0.000000000000000000e+00
0.000000000000000000e+00 2.782071400154473642e-02 5.591669514679116164e-10 9.505332710543294358e-03 0.000000000000000000e+00 1.102328939345659231e+00 1.506759398044736800e-07 1.312075236968447507e-07 0.000000000000000000e+00
0.000000000000000000e+00 9.649912099289602654e-03 8.131483818610464147e-10 7.588670377380104214e-03 0.000000000000000000e+00 1.543230007072350363e+00 1.034552786892093992e-07 2.417393048645082586e-08 0.000000000000000000e+00
0.000000000000000000e+00 7.876760861096695696e-03 1.881491682418720852e-10 5.596047138870669999e-03 0.000000000000000000e+00 1.669915071547635632e+00 1.028440819579591449e-07 1.966046966961957304e-08 0.000000000000000000e+00
0.000000000000000000e+00 1.182075945531095573e-02 3.801808031602759670e-10 1.277456118170426647e-01 0.000000000000000000e+00 1.825131612322850039e-01 4.738779049938942981e-08 1.498993643587023675e-07 0.000000000000000000e+00
0.000000000000000000e+00 1.553248421201700903e-02 5.718480266392559106e-10 4.479484535604191797e-01 0.000000000000000000e+00 3.709253219822981618e-01 9.318027944385512983e-07 2.314940185706283426e-07 0.000000000000000000e+00
