word.concentration.1	word.concentration.2	word.concentration.3	
8.911492053930237134e+00 8.879997704408172154e+00 9.111820773343398017e+00
9.644681422940557525e+00 9.746209738874787476e+00 9.043302122028539003e+00
9.496285310590330653e+00 9.979127730195251900e+00 9.430578299481934934e+00
7.318317633238693887e+00 9.812018530519281967e+00 9.796543844660442701e+00
9.525160320295755767e+00 9.488186395862694411e+00 9.751508470804330031e+00
9.591372778344700478e+00 9.076843477010804406e+00 9.647616580019047205e+00
9.431036907183424134e+00 8.968202585114555703e+00 9.700713411044237233e+00
9.839486680397753204e+00 8.903679189333814747e+00 9.148833229425871849e+00
9.545226941387532804e+00 8.639395052861781110e+00 9.722478096532148228e+00
9.578843123022116046e+00 8.227858941184170050e+00 9.952491059000884377e+00
9.843776727299937690e+00 8.568341911399043553e+00 9.255441694713653078e+00
9.910579229316175187e+00 8.683020115814027662e+00 9.595612141808018691e+00
9.412493527346443400e+00 9.680837241662921144e+00 8.880887906553667221e+00
9.632955521907064167e+00 9.144852412748797121e+00 9.403406504532542343e+00
9.926052748646277735e+00 9.444812125996627117e+00 9.327069726856279885e+00
9.927890270573684006e+00 9.028179896363036860e+00 9.981646293451332141e+00
8.424905097376884200e+00 9.244541715686434458e+00 9.902060734597476710e+00
9.481120255980435729e+00 9.499557201558252117e+00 8.889631627607808895e+00
9.515482056066730365e+00 9.535510992379258255e+00 8.194443963948051746e+00
9.691965253112959644e+00 8.968092345292953738e+00 8.378775216393878011e+00
9.911683932952861653e+00 8.637662405570424085e+00 7.029808100288823525e+00
9.397981349846288524e+00 7.476853156997898431e+00 7.501369890759456815e+00
9.820173422681563125e+00 7.225946589707683110e+00 9.366051270408512153e+00
9.837243891375281990e+00 7.107248748557648099e+00 9.750076927430212592e+00
9.854808984910986780e+00 8.084971043439672655e+00 9.679154223450645134e+00
9.760707713948029607e+00 8.864683930167377213e+00 9.578168703380491422e+00
9.514527760220945041e+00 9.981771063479401462e+00 9.209420076355268492e+00
9.523803136098045741e+00 9.364629301676444584e+00 8.959849902194555682e+00
9.160019248267088798e+00 8.758967194295887992e+00 9.212670272531751081e+00
9.541588997955667395e+00 9.670350483056163071e+00 8.879381162795727533e+00
9.115861236149768843e+00 9.963027866710859826e+00 9.990374271265380912e+00
9.949704914032775349e+00 9.767523124006206814e+00 9.407869362344870368e+00
9.928319146295518038e+00 7.839276371884263739e+00 9.730569918122755624e+00
9.847240594238805045e+00 9.701293749889742912e+00 8.108189179681325243e+00
9.831626782307159473e+00 9.199100813081932060e+00 9.359711675381412022e+00
9.720274171599863067e+00 8.497733815635765353e+00 9.932594680069625426e+00
9.770672612671146950e+00 8.498403269499100077e+00 9.878418286973934315e+00
9.231358511437933956e+00 7.735895689297168865e+00 9.703033822048441337e+00
9.700304097358323219e+00 8.324233952055642760e+00 9.750645351747751377e+00
9.593803894000012988e+00 8.267358770902397680e+00 9.371108703404148699e+00
9.928880701154698230e+00 9.130677695211764089e+00 9.411685497693561331e+00
