time.decay.1	time.decay.2	time.decay.3	
1.020653807104663713e+02 9.700076946904924569e+01 9.482195904388490248e+01
1.012080751786287891e+02 1.082540506361161903e+02 8.502181446632937423e+01
9.116444351348106068e+01 9.942735247705584811e+01 9.663176357507728653e+01
9.251096787062830629e+01 9.419120947092768859e+01 1.007558295577897525e+02
1.049651766256620817e+02 1.064816381238416341e+02 1.086554613196692003e+02
1.020313184266066173e+02 1.007863454047435852e+02 1.154285079239206340e+02
1.000544415671345604e+02 9.586847240847558282e+01 1.145768641598346562e+02
9.432112052217570408e+01 9.166263305982629106e+01 1.175947360618767448e+02
9.922473773864028601e+01 1.101321101977110857e+02 1.084924967465827024e+02
1.004439815692634568e+02 9.982166786881609255e+01 8.885941482826441984e+01
9.956205034069898829e+01 8.767570101693640083e+01 9.046897329494319706e+01
1.055876837284184546e+02 8.619094079486384885e+01 1.045559787546352197e+02
1.054359107070575021e+02 9.905357375112856744e+01 9.973838986798946848e+01
9.253421090725686327e+01 9.384987200783275796e+01 9.598480110497924045e+01
8.851250387374955153e+01 9.337280864591598117e+01 9.467898286540044239e+01
9.149767116507244680e+01 9.818182685624745432e+01 1.025573854198109132e+02
9.122473332251772149e+01 9.405246122411050180e+01 1.030396663674252125e+02
9.756603259698715647e+01 9.713183078746726551e+01 1.003220020882601631e+02
1.021417967772962072e+02 9.986364090319244724e+01 1.037861303750482591e+02
8.679337005105963954e+01 9.680772534803519136e+01 9.494262962960509356e+01
9.167151638572299532e+01 1.060795531170723649e+02 9.289196670260241717e+01
1.096268203823661622e+02 9.595888207347746857e+01 9.569348518481281474e+01
1.044889513162157186e+02 1.066334155470778171e+02 1.038193203822882538e+02
1.118979043270356044e+02 9.858500576935205117e+01 8.705627552823119686e+01
9.204490329767614298e+01 1.101205446991996268e+02 1.135561542680696050e+02
1.025588835549894640e+02 1.044427764702848265e+02 8.284234375532912509e+01
1.030510210083488687e+02 9.786296035140992444e+01 9.699159126648505946e+01
1.019662145310664414e+02 9.562271844042031432e+01 9.191350411515507801e+01
9.970777178829372644e+01 9.833043812287856156e+01 9.954300915728606469e+01
9.512499330471094083e+01 1.091563482499913675e+02 1.084512483745342450e+02
9.296788807543259736e+01 1.120767090027831472e+02 1.027100550689125100e+02
1.006594245367587206e+02 1.079312411696961789e+02 1.047021581027092623e+02
1.053904047086031426e+02 1.054266138235739447e+02 9.267362727801076971e+01
1.065203492869162716e+02 1.163391031947719796e+02 1.261303840704536157e+02
1.050197886094779705e+02 9.778483002734961360e+01 1.282683184704069674e+02
8.908939067862554850e+01 8.764015278282387555e+01 1.255531232221312052e+02
8.679402580801313150e+01 1.076353924228386205e+02 9.803297858440750190e+01
1.095140628863106684e+02 1.078565594977090853e+02 8.387119031785940138e+01
