log.prior	log.likelihood	log.likelihood.test.set
-6.720080121085024984e+02 -4.640123022243611786e+02 0.000000000000000000e+00
-6.910088121680322502e+02 -4.673927456052575735e+02 0.000000000000000000e+00
-6.877520716646462233e+02 -4.638063609267975380e+02 0.000000000000000000e+00
-6.757034266095348585e+02 -4.643031983729201784e+02 0.000000000000000000e+00
-6.707638544685296438e+02 -4.665901039983568808e+02 0.000000000000000000e+00
-6.712407094479652869e+02 -4.642768155171457920e+02 0.000000000000000000e+00
-6.721385188768946364e+02 -4.658278918750573894e+02 0.000000000000000000e+00
-6.834022511542838174e+02 -4.640066034833489539e+02 0.000000000000000000e+00
-6.765064481263768812e+02 -4.637975069360032876e+02 0.000000000000000000e+00
-6.696172060299488749e+02 -4.625215578210707577e+02 0.000000000000000000e+00
-6.892783427976507937e+02 -4.612106725075669829e+02 0.000000000000000000e+00
-6.979902593475978847e+02 -4.621753193083698079e+02 0.000000000000000000e+00
-7.043945887726179080e+02 -4.651551262426943367e+02 0.000000000000000000e+00
-6.940448000820018706e+02 -4.628744822635272840e+02 0.000000000000000000e+00
-6.893834478083832664e+02 -4.594126716184990187e+02 0.000000000000000000e+00
-6.952444428938332521e+02 -4.584237346109948703e+02 0.000000000000000000e+00
-6.987597141572207420e+02 -4.583012836436270732e+02 0.000000000000000000e+00
-6.903530675224269544e+02 -4.593212800744323658e+02 0.000000000000000000e+00
-6.835960117845978630e+02 -4.624211730164101368e+02 0.000000000000000000e+00
-6.825964174700741296e+02 -4.606312254416225755e+02 0.000000000000000000e+00
-6.800147014405130221e+02 -4.611274567375310198e+02 0.000000000000000000e+00
-6.764935244845179341e+02 -4.617597319458275251e+02 0.000000000000000000e+00
-6.739428738142662496e+02 -4.629002565962215385e+02 0.000000000000000000e+00
-6.655930759541033694e+02 -4.600385417657463449e+02 0.000000000000000000e+00
-6.579058546722268375e+02 -4.589106141646032597e+02 0.000000000000000000e+00
-6.629723449764954921e+02 -4.576825789555405208e+02 0.000000000000000000e+00
-6.689977303328251992e+02 -4.574405202799390509e+02 0.000000000000000000e+00
-6.748656349957584553e+02 -4.579900582398661300e+02 0.000000000000000000e+00
-6.784618819030031318e+02 -4.581833937256266722e+02 0.000000000000000000e+00
-6.720258604147744563e+02 -4.589170894873847715e+02 0.000000000000000000e+00
-6.672255792306713147e+02 -4.570174352590959757e+02 0.000000000000000000e+00
-6.598325628976357393e+02 -4.571906419827606669e+02 0.000000000000000000e+00
-6.609393642299743306e+02 -4.564508787184094558e+02 0.000000000000000000e+00
-6.620577739439553397e+02 -4.598693345276562354e+02 0.000000000000000000e+00
